PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
-0.4255152047456689,-0.5463744349685807,-1.540333220664795,-1.24911308673526,-0.4567685947023752,0.09337851615142226,1.0426817789623681,0.7956566352553008
-0.588604996706058,0.7888552966940442,2.0201565785508353,0.0753623095372218,-0.6265285754260695,-0.4953410461781225,0.1171163035092616,-0.11731355545636156
-1.3482196158791728,-0.9805613181347979,-0.12535631269147748,1.4355717360887112,-0.8589895605148373,1.5923344014750742,1.78940425965164,-0.31690377456552293
-1.522111940101706,-1.0273626489586378,-0.3113743047211034,0.22441199792456376,0.15065638243508814,2.3905723048958984,-2.207122640215052,0.4241219449510018
-1.8710286716545717,-0.3865069853233417,2.0089845559613626,-0.16230532472932405,0.38945791398493246,2.7673282706012756,-2.040066897421344,0.5840790433894422
0.6637166466990895,1.5721195179091296,-1.0137425346263569,0.42559477495274384,0.10871385799575216,-0.39329762701804416,-0.6337248968693918,0.46058316295348517
1.0167243791037555,-0.07122600450092097,0.9018183926051098,-1.885154364573591,0.5342659442470267,0.6847075809491074,2.5210861753005616,2.3706970551609463
-1.4446545049322579,0.12428977592375073,1.5273718021551108,-0.28097167311678234,0.04364911457943606,0.785885023729553,-0.9205239503053753,-0.5104841235888792
-1.683758679977439,-1.0081803153903468,-0.21076550882707826,0.9384008075622672,2.4299659512151024,2.587702945259814,-0.47099589022833305,0.055748553231475276
-1.191617584012053,-0.4700155885379012,-1.9348916759149066,-1.2185855082485075,-0.4404984024143568,-1.1819271046903697,-0.5649288972939841,0.2422899838713508
3.077377303435614,-1.5958525734114675,0.15185171257145388,-0.17341044327571462,-0.41037503182141727,0.3372136626454598,0.07699762886298292,-1.3397194347146193
-0.6768702381778325,-0.5557714835332449,-0.17018128246898903,1.663502010195467,2.52153330766938,-1.1592334576838375,0.6482732449986466,-0.35499076446313577
3.226112132121643,-0.007113188929124888,-0.06990203961022948,-0.6282318145587779,-0.15577298568033385,0.4211585249758108,0.10032161984632057,0.5234423699897611
-1.0306854588619552,-0.8139075070903915,-0.440155327814035,-0.4404107199874646,-1.260085034283082,-0.9701028847322066,0.19206963625769058,0.5670146027281274
-1.1150528398510697,-0.8157816080542146,0.7050411209878081,1.1099862865106407,-0.04791570093274823,2.4922381141390213,-1.468369074123724,0.4739066233251065
1.5384090023502373,0.21464811788027582,1.7193785237672872,-0.9436092845551575,-0.26094618852387164,-0.5526265801097672,-0.3743884115621786,2.5471197552967313
-0.7854713175622671,-1.2102646047708625,0.526909157050843,3.6626628434897768,-1.981199429106911,-0.7791618570595119,1.3319000695271228,-0.03797340794120758
2.174071679213524,1.1243985529084624,-0.6214869312431432,-0.01793347036477338,-0.32570857967108285,0.18857320852665657,-0.6722432220875898,1.7586300743919037
-0.08800508752534028,1.7057927102283086,-1.6590154504242014,-0.8214715740703237,0.2830446506085906,1.6424310327514744,2.923310507195704,-0.3942872812050858
1.4120976163240475,-0.30529219656035106,0.09264639769370753,0.37700393343360933,-0.44731991967891466,-0.15290607571168593,-0.2671284335766839,1.186907917770375
-0.28321020538602526,1.0166065152516175,-1.689345162270973,-0.357620622973528,-0.7048094889040518,-0.2892168526371256,-1.3653735258743207,0.5244123029465739
0.6022352223085717,1.3513415961846882,-0.4800898688456936,-0.22640959658527515,0.19618047682190284,0.1362618630298095,0.5133136599548909,0.6591619095401854
-1.501775347547346,-0.9534525175963549,-0.36805756447386767,0.26249764933286923,1.651267627945983,3.1994308943331626,0.1869891097572019,0.20453475053537865
-0.3675402464668359,-0.9885920916048361,0.23345965426561935,1.9868899026615245,-1.6180503702452775,-0.48758875107345384,0.5168501213827484,-0.7913571550294232
-0.33580693629756536,-0.9345187794259968,0.3457215006826224,2.2265551165366655,-1.487493952328993,0.20683995532106975,0.6419467932981059,0.40046216844389726
-1.823121723687044,-1.3152179299613038,-0.2905882974477205,2.3752962650863947,1.2164356361470168,-0.3878464764959729,-0.3526292295281562,-0.1760320641663901
-0.8114632162641927,-1.06762773761233,0.4269340991304036,3.1077194263664003,-2.2179180356703334,-0.39947759370523417,1.5035310837511462,-0.20575796822778705
3.2921607498838426,-1.321282552601308,0.2083939305075165,-0.2810809931592871,0.009571451535013856,0.04228226977862864,-0.6992668739381592,-1.0880463399204876
-0.04264219407903634,0.25748800302300884,1.5846441373556268,-0.6024040437813609,0.3259670676229517,-0.3674620714301606,0.22023306208864124,0.17011873353637655
-0.5547465152782861,0.9334213642822853,-1.690739193700501,-0.3166775003785038,0.4846274084998838,-0.3138460509399675,0.47726327433341803,-0.1249944877747933
-0.2572951258806221,1.7142799968309457,-0.8373116634505267,-0.21101651045194944,0.04999307325064463,0.8320314327196912,1.30388995413064,-0.7741962264022718
